Order,Latin_binomial,Island,Ancestor_or_closest_mainland_relative,Size_ratio,Body_mass_mainland_taxon,Body_mass_island_taxon,Log_Size_ratio,Magnitude_body_size_change,Direction_body_size_change,IUCN_Category,Source_Body_mass_and_size_ratio,Source_Ancestor_or_closest_mainland_relative,Endemism,Notes
Chiroptera,Melonycteris_fardoulisi,Guadalcanal: Kolombangara: Malaita: New Georgia: Russell: San Cristobal: Vangunu: Vella Lavella ,,,,48.4,,,,NT,Faurby et al. 2020,,yes,
Chiroptera,Melonycteris_melanops,Duke of York: Mioko: New Britain: Tolokiwa: Umboi: Dyal: New Ireland,,,,49,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Melonycteris_woodfordi,Bougainville: Buka: Oblari: Alu: Choiseul: Fauro: Mono: Santa Isabel: Nggela: Florida,,,,29.2,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Mesocapromys_angelcabrerai,Cuba,mean_body_mass_of_South_American_echimyids,1.509375,320,483,0.178797152,0.178797152,gigantism,CR,Faurby et al. 2020,Woods et al. 2021,yes,
Rodentia,Mesocapromys_auritus,Cayo Fragoso,mean_body_mass_of_South_American_echimyids,2.5625,320,820,0.408663874,0.408663874,gigantism,EN,Faurby et al. 2020,Woods et al. 2021,yes,
Rodentia,Mesocapromys_nanus,Cuba,mean_body_mass_of_South_American_echimyids,1.2965625,320,414.9,0.112793457,0.112793457,gigantism,CR,Faurby et al. 2020,Woods et al. 2021,yes,
Rodentia,Mesocapromys_sanfelipensis,Cayo Juan García,mean_body_mass_of_South_American_echimyids,1.71875,320,550,0.235212711,0.235212711,gigantism,CR,Faurby et al. 2020,Woods et al. 2021,yes,
Primates,Microcebus_arnholdi,Madagascar,,,,45,,,,VU,Faurby et al. 2020,,yes,
Primates,Microcebus_berthae,Madagascar,,,,30.5,,,,CR,Faurby et al. 2020,,yes,
Primates,Microcebus_bongolavensis,Madagascar,,,,54,,,,EN,Faurby et al. 2020,,yes,
Primates,Microcebus_danfossi,Madagascar,,,,63,,,,VU,Faurby et al. 2020,,yes,
Primates,Microcebus_gerpi,Madagascar,,,,68,,,,CR,Faurby et al. 2020,,yes,
Primates,Microcebus_griseorufus,Madagascar,,,,62.5,,,,LC,Faurby et al. 2020,,yes,
Primates,Microcebus_jollyae,Madagascar,,,,61,,,,EN,Faurby et al. 2020,,yes,
Primates,Microcebus_lehilahytsara,Madagascar,,,,46.5,,,,VU,Faurby et al. 2020,,yes,
Primates,Microcebus_macarthurii,Madagascar,,,,53,,,,EN,Faurby et al. 2020,,yes,
Primates,Microcebus_mamiratra,Madagascar,,,,61,,,,EN,Faurby et al. 2020,,yes,
Primates,Microcebus_margotmarshae,Madagascar,,,,49,,,,EN,Faurby et al. 2020,,yes,
Primates,Microcebus_marohita,Madagascar,,,,61.4,,,,CR,Faurby et al. 2020,,yes,
Primates,Microcebus_mittermeieri,Madagascar,,,,44,,,,EN,Faurby et al. 2020,,yes,
Primates,Microcebus_murinus,Madagascar,,,,60,,,,LC,Faurby et al. 2020,,yes,
Primates,Microcebus_myoxinus,Madagascar,,,,47.5,,,,VU,Faurby et al. 2020,,yes,
Primates,Microcebus_ravelobensis,Madagascar,,,,72,,,,VU,Faurby et al. 2020,,yes,
Primates,Microcebus_rufus,Madagascar,,,,42.5,,,,VU,Faurby et al. 2020,,yes,
Primates,Microcebus_sambiranensis,Madagascar,,,,44,,,,EN,Faurby et al. 2020,,yes,
Primates,Microcebus_simmonsi,Madagascar,,,,65,,,,EN,Faurby et al. 2020,,yes,
Primates,Microcebus_tavaratra,Madagascar,,,,61,,,,VU,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_brevicaudata,Madagascar,,,,11.3,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_cowani,Madagascar,,,,13.8,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_dobsoni,Madagascar,,,,38,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_drouhardi,Madagascar,,,,10.5,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_dryas,Madagascar,,,,40,,,,VU,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_fotsifotsy,Madagascar,,,,7.7,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_gracilis,Madagascar,,,,23.3,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_grandidieri,Madagascar,,,,13.1,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_gymnorhyncha,Madagascar,,,,18.2,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_jenkinsae,Madagascar,,,,5.1,,,,EN,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_jobihely,Madagascar,,,,9,,,,EN,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_longicaudata,Madagascar,,,,7.3,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_majori,Madagascar,,,,5.8,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_monticola,Madagascar,,,,13.9,,,,VU,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_nasoloi,Madagascar,,,,10,,,,VU,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_parvula,Madagascar,,,,3.4,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_principula,Madagascar,,,,10.2,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_pusilla,Madagascar,,,,3.4,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_soricoides,Madagascar,,,,18.7,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_taiva,Madagascar,,,,12.4,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_talazaci,Madagascar,,,,48,,,,LC,Faurby et al. 2020,,yes,
Afrosoricida,Microgale_thomasi,Madagascar,,,,22.9,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Micromys_minutus,,,1.32,7,9.24,0.120573931,0.120573931,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Peramelemorphia,Microperoryctes_aplini,New Guinea,,,,79.3,,,,VU,Faurby et al. 2020,,yes,
Peramelemorphia,Microperoryctes_longicauda,New Guinea,,,,538,,,,LC,Faurby et al. 2020,,yes,
Peramelemorphia,Microperoryctes_murina,New Guinea,,,,99.8,,,,VU,Faurby et al. 2020,,yes,
Peramelemorphia,Microperoryctes_papuensis,New Guinea,,,,158,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Microtus_abbreviatus,St. Matthew: Hall,Microtus_miurus,1.512195122,41,62,0.179607833,0.179607833,gigantism,LC,Faurby et al. 2020,Weksler et al. 2010,yes,
Rodentia,Microtus_agrestis,,,1.210761971,46.84568884,54.23481288,0.083058772,0.083058772,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Microtus_breweri,,,1.209,43.75,52.895,0.082426301,0.082426301,gigantism,VU,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Microtus_kikuchii,Taiwan,Microtus_oeconomus,0.630813953,34.4,21.7,-0.200098709,0.200098709,dwarfism,LC,Faurby et al. 2020,Bannikova et al. 2010,yes,
Rodentia,Microtus_longicaudus,,,0.9,50,45,-0.045757491,0.045757491,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Microtus_montebelli,Honshu: Kyushu: Sado: Notojima,Microtus_oeconomus,1.159883721,34.4,39.9,0.064414453,0.064414453,gigantism,LC,Faurby et al. 2020,Bannikova et al. 2010,yes,
Rodentia,Microtus_nebrodensis,,,1.031,20,20.62,0.013258665,0.013258665,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Microtus_pennsylvanicus,,,1.25,45,56.25,0.096910013,0.096910013,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Microtus_sachalinensis,Sakhalin,Microtus_maximowiczii,1.29736211,41.7,54.1,0.11306121,0.11306121,gigantism,LC,Faurby et al. 2020,Bannikova et al. 2010,yes,
Rodentia,Microtus_townsendii,,,1.015,65,65.975,0.006466042,0.006466042,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Miniopterus_australis,,,1.135,7.36,8.3536,0.054995862,0.054995862,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Miniopterus_fuscus,Amami Oshima: Tokunoshima: Okinoerabu: Okinawa: Kume: Ishigaki: Iriomote,,,,10.7,,,,EN,Faurby et al. 2020,,yes,
Chiroptera,Miniopterus_gleni,Madagascar,,,,14,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Miniopterus_macrocneme,New Guinea: Bismarck Archipelago: Choiseul: New Georgia: San Cristobal: Vanuatu Archipelago: New Caledonia,Miniopterus_pusillus,1.069767442,8.6,9.2,0.029289376,0.029289376,gigantism,LC,Faurby et al. 2020,Kitchener & Suyanto 2002,yes,
Chiroptera,Miniopterus_majori,Madagascar,,,,8,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Miniopterus_manavi,Madagascar,,,,5,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Miniopterus_robustior,Lifou: Maré,Miniopterus_australis,1.306451613,6.2,8.1,0.116093329,0.116093329,gigantism,EN,Faurby et al. 2020,Peterson 1981,yes,
Chiroptera,Miniopterus_schreibersi,,,1.043,10.9,10.9872,0.018284308,0.018284308,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Miniopterus_sororculus,Madagascar,,,,8,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Miniopterus_tristis,Philippines: Sulawesi: New Guinea: Melanesia,Miniopterus_australis,2.741935484,6.2,17,0.438057232,0.438057232,gigantism,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,Appleton et al. 2004,yes,
Chiroptera,Mirimiri_acrodonta,Taveuni,,,,250.5,,,,CR,Faurby et al. 2020,,yes,
Primates,Mirza_coquereli,Madagascar,,,,308,,,,EN,Faurby et al. 2020,,yes,
Primates,Mirza_zaza,Madagascar,,,,290,,,,VU,Faurby et al. 2020,,yes,
Eulipotyphla,Mogera_etigo,Honshu,,,,140,,,,EN,Faurby et al. 2020,,yes,
Eulipotyphla,Mogera_imaizumii,,,0.977529448,81.23816495,81.36318765,-0.009870151,0.009870151,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Eulipotyphla,Mogera_insularis,,,1.678,57,95.646,0.224791956,0.224791956,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Eulipotyphla,Mogera_tokudae,,,0.857500736,172.493896,147.9136427,-0.066765499,0.066765499,dwarfism,NT,Island populations dataset in this study,,yes,Median values from population dataset
Eulipotyphla,Mogera_uchidai,Uotsuri-jima,Mogera_insularis,0.685393258,62.3,42.7,-0.164060172,0.164060172,dwarfism,VU,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Eulipotyphla,Mogera_wogura,,,0.905,67.9,61.4495,-0.043351421,0.043351421,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Monophyllus_plethodon,Anguilla: Montserrat: Antigua: Barbuda: Grande-Terre: Basse-Terre: Dominica: Martinique: St Lucia: St Vincent: Barbados,,,,14.8,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Monophyllus_redmani,Cuba: Hispaniola: Puerto Rico: Jamaica: Crooked: Acklins: Middle Caicos: North Caicos,,,,8.7,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Monticolomys_koopmani,Madagascar,,,,25,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Mops_leucostigma,Madagascar,Mops_condylurus,0.616197183,28.4,17.5,-0.210280291,0.210280291,dwarfism,LC,Faurby et al. 2020,Ratrimomanarivo et al. 2008,yes,
Chiroptera,Mormoops_blainvillei,Cuba: Jamaica: Hispaniola: Puerto Rico,Mormoops_megalophylla,0.544303797,15.8,8.6,-0.264158636,0.264158636,dwarfism,LC,Faurby et al. 2020,Upham et al. 2019,yes,
Chiroptera,Mormopterus_jugularis,Madagascar,,,,11.5,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Mormopterus_minutus,Cuba,Mormopterus_kalinowskii,0.380681818,17.6,6.7,-0.419437865,0.419437865,dwarfism,VU,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Artiodactyla,Moschiola_kathygre,Sri Lanka,Moschiola_indica,0.654066667,3000,1962.2,-0.184377983,0.184377983,dwarfism,LC,Faurby et al. 2020,Groves & Meijaard 2005,yes,
Artiodactyla,Moschiola_meminna,Sri Lanka,Moschiola_indica,0.815,3000,2445,-0.088842391,0.088842391,dwarfism,LC,Faurby et al. 2020,Groves & Meijaard 2005,yes,
Chiroptera,Mosia_nigrescens,Sulawesi: Halmahera: Morotai: Ambon: Buru: Seram: Salawati: Biak: New Guinea: Solomon Islands,,,,3.3,,,,LC,Faurby et al. 2020,,yes,
Carnivora,Mungotictis_decemlineata,Madagascar,,,,650,,,,EN,Faurby et al. 2020,,yes,
Artiodactyla,Muntiacus_atherodes,Borneo,Muntiacus_muntjak,0.979542629,15925.8,15600,-0.008976659,0.008976659,dwarfism,NT,Faurby et al. 2020: Frantz L. Meijaard E. Gongora J. Haile J. Groenen M.A. and Larson G. 2016. The evolution of Suidae. Annual review of animal biosciences 4 pp.61-85.,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Artiodactyla,Muntiacus_muntjak,,,0.747942598,14125.37545,10564.97001,-0.126131731,0.126131731,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Dasyuromorphia,Murexia_habbema,New Guinea,,,,34.8,,,,LC,Faurby et al. 2020,,yes,
Dasyuromorphia,Murexia_longicaudata,New Guinea: Aru Islands: Yapen,,,,335.8,,,,LC,Faurby et al. 2020,,yes,
Dasyuromorphia,Murexia_melanurus,New Guinea,,,,47.8,,,,LC,Faurby et al. 2020,,yes,
Dasyuromorphia,Murexia_naso,New Guinea,,,,48.4,,,,LC,Faurby et al. 2020,,yes,
Dasyuromorphia,Murexia_rothschildi,New Guinea,,,,43.8,,,,NT,Faurby et al. 2020,,yes,
Chiroptera,Murina_puta,Taiwan,Murina_huttoni,1.092105263,7.6,8.3,0.0382645,0.0382645,gigantism,LC,Faurby et al. 2020,Yoshiyuki 1989,yes,
Chiroptera,Murina_ryukyuana,Okinawa: Tokunoshima: Amami Oshima,Murina_ussuriensis,0.849056604,5.3,4.5,-0.071063356,0.071063356,dwarfism,EN,Faurby et al. 2020,Upham et al. 2019,yes,
Chiroptera,Murina_tenebrosa,Tsushima,Murina_florium,0.860465116,4.3,3.7,-0.065266732,0.065266732,dwarfism,CR,Faurby et al. 2020,Maeda & Matsumura 1998,yes,
Rodentia,Mus_cypriacus,Cyprus,Mus_macedonicus,1.2,15,18,0.079181246,0.079181246,gigantism,LC,Van den Hoek Ostende et al. 2017,Van den Hoek Ostende et al. 2017,yes,
Rodentia,Mus_fernandoni,Sri Lanka,,,,21.6,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Mus_mayori,Sri Lanka,,,,29.4,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Mus_vulcani,Java,,,,20.2,,,,LC,Faurby et al. 2020,,yes,
Carnivora,Mustela_erminea,,,0.9705,75,72.7875,-0.01300446,0.01300446,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Mustela_itatsi,,,1.014569325,532,440.496,0.006281728,0.006281728,gigantism,NT,Island populations dataset in this study,,yes,Median values from population dataset
Carnivora,Mustela_lutreolina,Sumatra: Java,Mustela_sibirica,1.744691358,405,706.6,0.24171861,0.24171861,gigantism,LC,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Carnivora,Mustela_nivalis,,,1.32158429,79.9,105.5945848,0.121094868,0.121094868,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Mustela_nudipes,,,1.016643911,501.1872336,509.5289496,0.007168864,0.007168864,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Mustela_putorius,,,0.991,984,975.144,-0.003926346,0.003926346,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Mustela_sibirica,,,0.808979769,532,430.377237,-0.092062339,0.092062339,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Mydaus_javanensis,,,0.986701711,2511.886432,2478.48264,-0.005814119,0.005814119,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Carnivora,Mydaus_marchei,,,0.761,2500,1902.5,-0.118615343,0.118615343,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Myodes_andersoni,Honshu,,,,25.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Myodes_gapperi,,,1.096,21.9,24.5568,0.039810554,0.039810554,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Myodes_glareolus,,,0.941,20.7,19.4787,-0.026410377,0.026410377,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Myodes_rex,Hokkaido: Rishiri: Rebun: Shikotan: Shibotsu: Sakhalin,Myodes_rufocanus,1.5,37,55.5,0.176091259,0.176091259,gigantism,LC,Faurby et al. 2020,Honda et al. 2019,yes,
Rodentia,Myodes_rutilus,,,1.17,24,28.08,0.068185862,0.068185862,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Myodes_smithii,Honshu: Kyushu: Shikoku: Dogo,,,,35,,,,LC,Faurby et al. 2020,,yes,
Dasyuromorphia,Myoictis_melas,New Guinea: Salawati: Waigeo: Yapen,,,,230,,,,LC,Faurby et al. 2020,,yes,
Dasyuromorphia,Myoictis_wallacei,New Guinea: Aru Islands,,,,230,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Myonycteris_angolensis,,,0.903306481,67.7,61.15384876,-0.044164874,0.044164874,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Myonycteris_brachycephala,Sao Tome,Myonycteris_torquata,0.848341232,42.2,35.8,-0.071429424,0.071429424,dwarfism,EN,Faurby et al. 2020,Juste & Ibáñez 1993,yes,
Eulipotyphla,Myosorex_eisentrauti,Bioko,Myosorex_rumpii,0.92,15,13.8,-0.036212173,0.036212173,dwarfism,CR,Faurby et al. 2020,Kingdon et al. 2014,yes,
Chiroptera,Myotis_blythii,,,1.125,22.1,24.8625,0.051152522,0.051152522,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Myotis_capaccinii,,,0.882,8.14,7.17948,-0.054531415,0.054531415,dwarfism,VU,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Myotis_dominicensis,Dominica: Guadeloupe Islands,Myotis_atacamensis,0.450704225,7.1,3.2,-0.34610837,0.34610837,dwarfism,VU,Faurby et al. 2020,Moratelli et al. 2017,yes,
Chiroptera,Myotis_findleyi,Tres Marías Islands,Myotis_nigricans,1,4.2,4.2,0,0,no_change,EN,Faurby et al. 2020,Bogan 1978,yes,
Chiroptera,Myotis_gomantongensis,Borneo,Myotis_annectans,0.959183673,9.8,9.4,-0.018098222,0.018098222,dwarfism,LC,Faurby et al. 2020,Ruedi et al. 2013,yes,
Chiroptera,Myotis_goudoti,Madagascar,Myotis_emarginatus,0.909090909,7.7,7,-0.041392685,0.041392685,dwarfism,LC,Faurby et al. 2020,Stadelmann et al. 2004,yes,
Chiroptera,Myotis_macrotarsus,Borneo: Balambangam: Banggi: Bantayan: Bohol: Cebu: Guimaras: Luzon: Marinduque: Mindanao: Mindoro: Negros: Palawan: Polillo: Sicogon: Tawi Tawi ,Myotis_hasseltii,1.420454545,8.8,12.5,0.152427341,0.152427341,gigantism,LC,Faurby et al. 2020,Bickham et al. 2004,yes,
Chiroptera,Myotis_martiniquensis,Martinique,Myotis_atacamensis,0.704225352,7.1,5,-0.152288344,0.152288344,dwarfism,NT,Faurby et al. 2020,Moratelli et al. 2017,yes,
Chiroptera,Myotis_moluccarum,Halmahera: Seram: Ambon: Peleng: Kai: New Guinea: Bismarck Archipelago: Solomon Islands,,,,9.2,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Myotis_muricola,,,0.917,4.8,4.4016,-0.037630664,0.037630664,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Myotis_myotis,,,1.0865,25.7,27.92305,0.036029731,0.036029731,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Myotis_nigricans,,,0.945996657,5.816587638,5.502472458,-0.024110399,0.024110399,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Myotis_nyctor,Barbados: Grenada,Myotis_atacamensis,0.704225352,7.1,5,-0.152288344,0.152288344,dwarfism,VU,Faurby et al. 2020,Moratelli et al. 2017,yes,
Chiroptera,Myotis_pruinosus,Honshu: Shikoku: Kyushu,Myotis_montivagus,0.325301205,8.3,2.7,-0.487714328,0.487714328,dwarfism,EN,Faurby et al. 2020,Kawai et al. 2003,yes,
Chiroptera,Myotis_yanbarensis,Okinawa: Tokunoshima: Amami Oshima,Myotis_montivagus,0.518072289,8.3,4.3,-0.285609637,0.285609637,dwarfism,CR,Faurby et al. 2020,Kawai et al. 2003,yes,
Rodentia,Mysateles_melanurus,Cuba,mean_body_mass_of_South_American_echimyids,3.80625,320,1218,0.58049731,0.58049731,gigantism,VU,Faurby et al. 2020,Woods et al. 2021,yes,
Rodentia,Mysateles_prehensilis,Cuba,mean_body_mass_of_South_American_echimyids,5.625,320,1800,0.750122527,0.750122527,gigantism,NT,Faurby et al. 2020,Woods et al. 2021,yes,
Chiroptera,Mystacina_robusta,,,0.834,27.4,22.8516,-0.078833949,0.078833949,dwarfism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Mystacina_tuberculata,New Zeal:,,,,12.6,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Myzopoda_aurita,Madagascar,,,,9.3,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Myzopoda_schliemanni,Madagascar,,,,9.1,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Nannosciurus_melanotis,,,1.039,20,20.78,0.016615548,0.016615548,gigantism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Nasalis_larvatus,Borneo,,,,9000,,,,EN,Faurby et al. 2020,,yes,
Carnivora,Nasua_narica,,,0.39,4500,1755,-0.408935393,0.408935393,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Natalus_jamaicensis,Jamaica,,,,6.7,,,,CR,Faurby et al. 2020,,yes,
Chiroptera,Natalus_major,Hispaniola,,,,7.1,,,,NT,Faurby et al. 2020,,yes,
Chiroptera,Natalus_primus,Cuba,,,,9.1,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Natalus_stramineus,Anguilla: Antigua: Barbuda: Dominica: Guadeloupe Islands: Marie Galante: Martinique: Montserrat: Nevis: Saba: St Martin,,,,5,,,,LC,Faurby et al. 2020,,yes,
Carnivora,Neofelis_diardi_borneensis,,,0.90627657,19498.446,17670.98477,-0.042739247,0.042739247,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Eulipotyphla,Neohylomys_hainanensis,Hainan,Hylomys_suillus,0.904255319,65.8,59.5,-0.043708928,0.043708928,dwarfism,EN,Faurby et al. 2020,He et al. 2012,yes,
Dasyuromorphia,Neophascogale_lorentzii,New Guinea,,,,212,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Neopteryx_frosti,Sulawesi,,,,225,,,,EN,Faurby et al. 2020,,yes,
Chiroptera,Neoromicia_malagasyensis,Madagascar,Neoromicia_helios,2.5,2.6,6.5,0.397940009,0.397940009,gigantism,VU,Faurby et al. 2020,Upham et al. 2019,yes,
Chiroptera,Neoromicia_matroka,Madagascar,Neoromicia_capensis,1.083333333,6,6.5,0.034762106,0.034762106,gigantism,LC,Faurby et al. 2020,Goodman et al. 2012,yes,
Rodentia,Neotoma_albigula,,,0.8355,208,173.784,-0.078053546,0.078053546,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Neotoma_bryanti,,,1.14,200,228,0.056904851,0.056904851,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Neovison_vison,,,1.0125,904,926.6,0.005395032,0.005395032,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Nesomys_audeberti,Madagascar,,,,212.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Nesomys_lambertoni,Madagascar,,,,155,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Nesomys_rufus,Madagascar,,,,162.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Nesoromys_ceramicus,Seram,,,,65.5,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Nesoryzomys_fernandinae,Fernandina,,,,38.1,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Nesoryzomys_narboroughi,Fernandina,,,,88,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Nesoryzomys_swarthi,Santiago,,,,105.8,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Niviventer_confucianus,,,1.101,70,77.07,0.041787319,0.041787319,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Niviventer_coninga,Taiwan,Niviventer_confucianus,1.266153846,65,82.3,0.102486479,0.102486479,gigantism,LC,Faurby et al. 2020,He & Jiang 2015,yes,
Rodentia,Niviventer_cremoriventer,,,1.314,71.3,93.6882,0.118595365,0.118595365,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Niviventer_culturatus,Taiwan,Niviventer_confucianus,1.367692308,65,88.9,0.135988404,0.135988404,gigantism,LC,Faurby et al. 2020,He & Jiang 2015,yes,
Rodentia,Niviventer_fraternus,Sumatra,,,,86.8,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Niviventer_lepturus,Java,,,,84.8,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Niviventer_rapit,Borneo,Niviventer_fulvescens,1.052121212,82.5,86.8,0.022065777,0.022065777,gigantism,LC,Faurby et al. 2020,He & Jiang 2015,yes,
Primates,Nomascus_concolor,,,0.959,6430,6166.37,-0.018181393,0.018181393,dwarfism,CR,Island populations dataset in this study,,no,Median values from population dataset
Primates,Nomascus_hainanus,,,0.810684954,25000,20267.12386,-0.091147887,0.091147887,dwarfism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Diprotodontia,Notamacropus_eugenii,,,0.95575672,5280,5046.395482,-0.01965264,0.01965264,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Diprotodontia,Notamacropus_rufogriseus,,,0.84810492,9679.8,8209.486,-0.071550418,0.071550418,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Notopteris_macdonaldi,Viti Levu: Vanua Levu: Taveuni: Anatom: Efate: Erromango: Mota Lava: Santa Maria: Tanna ,,,,65.1,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Notopteris_neocaledonica,New Caledonia,,,,45.1,,,,EN,Faurby et al. 2020,,yes,
Chiroptera,Nyctalus_azoreum,Faial: Pico: San Jorge: Graciosa: Terceira: San Miguel: Santa Maria,Nyctalus_leisleri,0.533834586,13.3,7.1,-0.272593292,0.272593292,dwarfism,VU,Faurby et al. 2020,Salgueiro et al. 2004,yes,
Chiroptera,Nyctalus_furvus,Honshu,,,,27.6,,,,EN,Faurby et al. 2020,,yes,
Carnivora,Nyctereutes_viverrinus,,,0.879696707,4220,4092.180668,-0.055667034,0.055667034,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
